"path","language","page_type","http_status","h1_count","duplicate_ids","broken_labels","broken_aria","title"
"/nb","nb","home","200","1","0","0","0","NAVIAR CARE — Praktisk hjelp"
"/nb/guide","nb","guide","200","1","0","0","0","NAVIAR CARE · Hvilken hjelp passer for deg?"
"/nb/book","nb","book","200","1","0","0","0","NAVIAR CARE · Finn en tid"
"/nb/my","nb","my","200","1","0","0","0","NAVIAR CARE · Mine samtaler"
"/nb/contact","nb","contact","200","1","0","0","0","NAVIAR CARE · Ta kontakt"
"/nb/enquiries","nb","enquiries","200","1","0","0","0","NAVIAR CARE · Mine henvendelser"
"/nb/payment","nb","payment","200","1","0","0","0","NAVIAR CARE · Se tilbud og betaling"
"/nb/privacy","nb","privacy","200","1","0","0","0","NAVIAR CARE · Personvern"
"/nb/terms","nb","terms","200","1","0","0","0","NAVIAR CARE · Vilkår"
"/nb/admin","nb","admin","200","1","0","0","0","NAVIAR CARE · Administrasjon"
"/en","en","home","200","1","0","0","0","NAVIAR CARE — Practical help"
"/en/guide","en","guide","200","1","0","0","0","NAVIAR CARE · What kind of help would suit you?"
"/en/book","en","book","200","1","0","0","0","NAVIAR CARE · Find a time"
"/en/my","en","my","200","1","0","0","0","NAVIAR CARE · My calls"
"/en/contact","en","contact","200","1","0","0","0","NAVIAR CARE · Contact us"
"/en/enquiries","en","enquiries","200","1","0","0","0","NAVIAR CARE · My enquiries"
"/en/payment","en","payment","200","1","0","0","0","NAVIAR CARE · View offer and payment"
"/en/privacy","en","privacy","200","1","0","0","0","NAVIAR CARE · Privacy"
"/en/terms","en","terms","200","1","0","0","0","NAVIAR CARE · Terms"
"/en/admin","en","admin","200","1","0","0","0","NAVIAR CARE · Administration"
"/tr","tr","home","200","1","0","0","0","NAVIAR CARE — Gündelik yardım"
"/tr/guide","tr","guide","200","1","0","0","0","NAVIAR CARE · Size hangi yardım uygun?"
"/tr/book","tr","book","200","1","0","0","0","NAVIAR CARE · Saat seç"
"/tr/my","tr","my","200","1","0","0","0","NAVIAR CARE · Görüşmelerim"
"/tr/contact","tr","contact","200","1","0","0","0","NAVIAR CARE · İletişim"
"/tr/enquiries","tr","enquiries","200","1","0","0","0","NAVIAR CARE · Başvurularım"
"/tr/payment","tr","payment","200","1","0","0","0","NAVIAR CARE · Teklif ve ödemeyi görüntüle"
"/tr/privacy","tr","privacy","200","1","0","0","0","NAVIAR CARE · Gizlilik"
"/tr/terms","tr","terms","200","1","0","0","0","NAVIAR CARE · Koşullar"
"/tr/admin","tr","admin","200","1","0","0","0","NAVIAR CARE · Yönetim"
